Region,Source-EN,Source-ZH
Guangdong,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Guangdong, Table 13","中国资本主义工商业的社会主义改造,广东卷,表13"
Sichuan,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Sichuan, Table 17","中国资本主义工商业的社会主义改造,四川卷,表17"
Jiangsu,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Jiangsu, pp 450-452","中国资本主义工商业的社会主义改造,江苏卷,450-452"
Shanghai,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Shanghai, Table 19","中国资本主义工商业的社会主义改造,上海卷,表19"
Hebei,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Hebei, Table 20","中国资本主义工商业的社会主义改造,河北卷,表20"
Hunan,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Hunan, pp 11, 13","中国资本主义工商业的社会主义改造,湖南卷, 11,13"
Tianjin,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Tianjin, p 21","中国资本主义工商业的社会主义改造,天津卷,21"
Fujian,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Fujian, p 18; Boluan Fanzheng, Fujian, p 36","中国资本主义工商业的社会主义改造,福建卷,18; 拨乱反正,福建卷,36"
Hubei,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Hubei, Table 24","中国资本主义工商业的社会主义改造,湖北卷,表24"
Zhejiang,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Zhejiang, Table 14","中国资本主义工商业的社会主义改造,浙江卷,表14"
Beijing,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Beijing, Table 18","中国资本主义工商业的社会主义改造,北京卷,表18"
Shandong,"Boluan Fanzheng, Shandong, p 251","拨乱反正,山东卷,251"
Liaoning,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Liaoning, p 623","中国资本主义工商业的社会主义改造,辽宁卷,623"
Henan,"Boluan Fanzheng, Henan, p 336","拨乱反正,河南卷,336"
Shanxi,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Shanxi, Table 14","中国资本主义工商业的社会主义改造,山西卷,表14"
Heilongjiang,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Heilongjiang, p 24","中国资本主义工商业的社会主义改造,黑龙江卷,24"
Jiangxi,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Jiangxi, Table 20","中国资本主义工商业的社会主义改造,江西卷,表20"
Guangxi,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Guangxi, Table 15","中国资本主义工商业的社会主义改造,广西卷,表15"
Shaanxi,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Shaanxi, p 27; Boluan fanzheng, Shaanxi, 109","中国资本主义工商业的社会主义改造,陕西卷,27; 拨乱反正,陕西,109"
Guizhou,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Guizhou, p 20","中国资本主义工商业的社会主义改造,贵州卷,20"
Jilin,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Jilin, p 23","中国资本主义工商业的社会主义改造,吉林卷,23"
Anhui,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Anhui, Table 16","中国资本主义工商业的社会主义改造,安徽卷,表16"
Yunnan,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Yunnan, p 17","中国资本主义工商业的社会主义改造,云南卷,17"
Gansu,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Gansu, Table 10","中国资本主义工商业的社会主义改造,甘肃卷,表10"
InnerMongolia,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Inner Mongolia, p 20","中国资本主义工商业的社会主义改造,内蒙古卷,20"
Xinjiang,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Xinjiang","中国资本主义工商业的社会主义改造,新疆卷"
Ningxia,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Ningxia, p 16","中国资本主义工商业的社会主义改造,宁夏卷,16"
Qinghai,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Qinghai, Table 19","中国资本主义工商业的社会主义改造,青海卷,表19"
Guangzhou,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Guangzhou, Table 20","中国资本主义工商业的社会主义改造,广州卷,表20"
Wuhan,"Zhongguo zibenzhuyi gongshangye de shehuizhuyi gaizao, Wuhan, Table 22","中国资本主义工商业的社会主义改造,武汉卷,表22"
