Region,AdminLevel,CapitalistsTotal,DiffOut,OutCapital(millionsRMB),InCapital,NoEmployment,NoEmployment(millionsRMB),IndustryPreDiff,IndustryDiffOut,IndustryCapital(millionsRMB),LightIndustryPreDiff,LightIndustryDiffOut,LightIndustryCapital(millionsRMB),TextileIndustryPreDiff,TextileIndustryDiffOut,TextileIndustryCapital(millionsRMB),HeavyIndustryPreDiff,HeavyIndustryDiffOut,HeavyIndustryCapital(millionsRMB),TradePreDiff,TradeDiffOut,TradeCapital(millionsRMB),TransportPreDiff,TransportDiffOut,FoodPreDiff,FoodDiffOut,FinancePreDiff,FinanceDiffOut,OtherPreDiff,OtherDiffOut,DiffStart,DiffEnd
Tibet,Province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guangdong,Province,67715,52284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,1980
Sichuan,Province,66919,57520,21.62,21.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,1980
Jiangsu,Province,57199,43184,21.97,99.17,29533,NA,14479,9188,5.37,NA,NA,NA,NA,NA,NA,Na,NA,NA,37028,29507,11.29,2581,1900,6411,5338,NA,NA,5777,4781,1981,1981
Shanghai,Province,56432,22600,37.3,NA,29975,74.97,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197911,198002
Hebei,Province,54919,52512,14.97,11.15,37162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197912,198005
Hunan,Province,54672,45029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tianjin,Province,42821,32868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fujian,Province,35864,34589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hubei,Province,35608,28473,6.59,20.28,19434,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197912,198006
Zhejiang,Province,3\5371,23906,14.22,NA,30947,46.89,8263,4722,3.35,NA,NA,NA,8263,4722,3.35,NA,NA,NA,18548,13010,6.36,1950,1389,2333,1784,NA,NA,4337,3001,198101,NA
Beijing,Province,32395,25760,17.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978,1978
Shandong,Province,30501,24626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liaoning,Province,26947,23513,13.9,NA,4872,6.09,6983,4682,5.89,2969,2370,2.09,1076,645,0.6,2938,1667,3.2,13901,13146,5.12,815,752,4602,4348,NA,NA,646,585,1980,1980
