place_name,lat,long,date,households(10k),total_population(10k),non-rural_population(10k),page_in_source
Beijing,39.9042,116.4074,1949,n/a,n/a,n/a,225
Beijing,39.9042,116.4074,1950,n/a,204.3,n/a,225
Beijing,39.9042,116.4074,1951,n/a,222,n/a,225
Beijing,39.9042,116.4074,1952,n/a,251.9,n/a,225
Beijing,39.9042,116.4074,1953,n/a,287.1,n/a,225
Beijing,39.9042,116.4074,1954,62.5,310.4,n/a,225
Beijing,39.9042,116.4074,1955,66.1,321.0,n/a,225
Beijing,39.9042,116.4074,1956,81,383.8,301.5,225
Beijing,39.9042,116.4074,1957,86.4,401.1,n/a,225
Beijing,39.9042,116.4074,1958,116.6,552.3,n/a,225
Beijing,39.9042,116.4074,1959,85.2,426.6,n/a,225
Beijing,39.9042,116.4074,1960,85.7,470.3,n/a,225
Beijing,39.9042,116.4074,1961,92.1,456.1,396.7,225
Beijing,39.9042,116.4074,1962,92.8,448.6,387.7,225
Beijing,39.9042,116.4074,1963,94.1,462.0,398.5,225
Beijing,39.9042,116.4074,1964,95.2,472.2,407.0,225
Beijing,39.9042,116.4074,1965,95.5,476.3,410.4,225
Beijing,39.9042,116.4074,1966,n/a,465.0,397.0,225
Beijing,39.9042,116.4074,1967,n/a,471,403.0,225
Beijing,39.9042,116.4074,1968,n/a,465.0,394.0,225
Beijing,39.9042,116.4074,1969,n/a,443.0,371,225
Beijing,39.9042,116.4074,1970,n/a,439.1,366.0,225
Beijing,39.9042,116.4074,1971,101.9,445.1,371.2,225
Beijing,39.9042,116.4074,1972,104.3,452.1,378,225
Beijing,39.9042,116.4074,1973,106.4,457.5,381.4,225
Beijing,39.9042,116.4074,1974,109.0,464.8,389.4,225
Beijing,39.9042,116.4074,1975,111.0,465.7,389.9,225
Beijing,39.9042,116.4074,1976,113.6,468.9,392.8,225
Beijing,39.9042,116.4074,1977,117.7,473.9,396.8,225
Beijing,39.9042,116.4074,1978,122.1,486.0,409.3,225
Beijing,39.9042,116.4074,1979,128.4,509.5,434.1,225
Beijing,39.9042,116.4074,1980,135.9,530.9,454.8,225
Beijing,39.9042,116.4074,1981,143.5,543.0,466.5,225
Beijing,39.9042,116.4074,1982,148.8,554.5,476.8,225
Beijing,39.9042,116.4074,1983,155.1,567.1,489.0,225
Beijing,39.9042,116.4074,1984,160.4,575.9,498.5,225
Beijing,39.9042,116.4074,1985,167.5,586.4,510.4,225
