place_name,lat,long,date,households(10k),total_population(10k),non-rural_population(10k),page_in_source
Chengdu,30.5728,104.0668,1949,,,,256
Chengdu,30.5728,104.0668,1950,,56.2,,256
Chengdu,30.5728,104.0668,1951,,50.4,,256
Chengdu,30.5728,104.0668,1952,,50.3,,256
Chengdu,30.5728,104.0668,1953,,76.1,,256
Chengdu,30.5728,104.0668,1954,19.9,93.5,,256
Chengdu,30.5728,104.0668,1955,20.7,91.2,,256
Chengdu,30.5728,104.0668,1956,23.1,103.9,85.5,256
Chengdu,30.5728,104.0668,1957,24.8,110.7,,256
Chengdu,30.5728,104.0668,1958,24.2,115.7,,256
Chengdu,30.5728,104.0668,1959,29.3,157.9,,256
Chengdu,30.5728,104.0668,1960,30,158.5,,256
Chengdu,30.5728,104.0668,1961,31.1,153.9,112.2,256
Chengdu,30.5728,104.0668,1962,31.6,150.2,106.8,256
Chengdu,30.5728,104.0668,1963,33.2,156.1,110.7,256
Chengdu,30.5728,104.0668,1964,35,160.6,112.9,256
Chengdu,30.5728,104.0668,1965,35.4,165.1,116.2,256
Chengdu,30.5728,104.0668,1966,,167,117,256
Chengdu,30.5728,104.0668,1967,,170,118,256
Chengdu,30.5728,104.0668,1968,,174,120,256
Chengdu,30.5728,104.0668,1969,,172,115,256
Chengdu,30.5728,104.0668,1970,,174.5,115.5,256
Chengdu,30.5728,104.0668,1971,41,178.1,116.9,256
Chengdu,30.5728,104.0668,1972,41.8,180.3,117.7,256
Chengdu,30.5728,104.0668,1973,42.7,182.8,118.5,256
Chengdu,30.5728,104.0668,1974,44,184.8,119,256
Chengdu,30.5728,104.0668,1975,44.9,185.8,118.3,256
Chengdu,30.5728,104.0668,1976,48.4,197.8,118.6,256
Chengdu,30.5728,104.0668,1977,49.4,200.1,119.8,256
Chengdu,30.5728,104.0668,1978,50.4,205.3,124.7,256
Chengdu,30.5728,104.0668,1979,51.7,211.6,130.3,256
Chengdu,30.5728,104.0668,1980,52.7,215,133.2,256
Chengdu,30.5728,104.0668,1981,61.4,242.8,137.6,256
Chengdu,30.5728,104.0668,1982,63.4,247.3,141.3,256
Chengdu,30.5728,104.0668,1983,65,250.5,144.5,256
Chengdu,30.5728,104.0668,1984,67.2,253.9,152.3,256
Chengdu,30.5728,104.0668,1985,69.1,258.3,159.1,256
