place_name,lat,long,date,households(10k),total_population(10k),non-rural_population(10k),page_in_source
Chongqing,29.5627804,106.5527802,1949,n/a,n/a,n/a,257
Chongqing,29.5627804,106.5527802,1950,n/a,108.3,n/a,257
Chongqing,29.5627804,106.5527802,1951,n/a,92.8,n/a,257
Chongqing,29.5627804,106.5527802,1952,n/a,123,n/a,257
Chongqing,29.5627804,106.5527802,1953,n/a,158.1,n/a,257
Chongqing,29.5627804,106.5527802,1954,38.4,186.5,n/a,257
Chongqing,29.5627804,106.5527802,1955,41.1,189.7,n/a,257
Chongqing,29.5627804,106.5527802,1956,42,200.9,160,257
Chongqing,29.5627804,106.5527802,1957,43.7,212,n/a,257
Chongqing,29.5627804,106.5527802,1958,45.2,219.2,n/a,257
Chongqing,29.5627804,106.5527802,1959,43.6,228.8,n/a,257
Chongqing,29.5627804,106.5527802,1960,39.6,229.9,n/a,257
Chongqing,29.5627804,106.5527802,1961,40.9,213.4,172.6,257
Chongqing,29.5627804,106.5527802,1962,43.6,208,154.6,257
Chongqing,29.5627804,106.5527802,1963,44.9,213.9,169.3,257
Chongqing,29.5627804,106.5527802,1964,45.6,216,168.8,257
Chongqing,29.5627804,106.5527802,1965,45.7,217.3,168.9,257
Chongqing,29.5627804,106.5527802,1966,n/a,219,170,257
Chongqing,29.5627804,106.5527802,1967,n/a,224,172,257
Chongqing,29.5627804,106.5527802,1968,n/a,229,175,257
Chongqing,29.5627804,106.5527802,1969,n/a,228,170,257
Chongqing,29.5627804,106.5527802,1970,n/a,222.1,165.6,257
Chongqing,29.5627804,106.5527802,1971,52.2,226.3,167.7,257
Chongqing,29.5627804,106.5527802,1972,52.5,228.1,168.4,257
Chongqing,29.5627804,106.5527802,1973,53.5,232.2,171.4,257
Chongqing,29.5627804,106.5527802,1974,55,231.6,169.2,257
Chongqing,29.5627804,106.5527802,1975,56.7,231.9,165.5,257
Chongqing,29.5627804,106.5527802,1976,58.1,231.2,163.8,257
Chongqing,29.5627804,106.5527802,1977,59.3,234.6,166.5,257
Chongqing,29.5627804,106.5527802,1978,60,241.2,173.2,257
Chongqing,29.5627804,106.5527802,1979,61,250.7,182.6,257
Chongqing,29.5627804,106.5527802,1980,62.3,254.5,186.2,257
Chongqing,29.5627804,106.5527802,1981,65.7,259.7,190,257
Chongqing,29.5627804,106.5527802,1982,68.2,265,194.4,257
Chongqing,29.5627804,106.5527802,1983,70.6,269.4,199,257
Chongqing,29.5627804,106.5527802,1984,72.8,273.4,203.1,257
Chongqing,29.5627804,106.5527802,1985,75.8,277.9,208,257
