place_name,lat,long,date,households(10k),total_population(10k),non-rural_population(10k),page_in_source
Hangzhou,30.2741,120.1551,1949,n/a,n/a,n/a,232
Hangzhou,30.2741,120.1551,1950,n/a,n/a,n/a,232
Hangzhou,30.2741,120.1551,1951,n/a,53.7,n/a,232
Hangzhou,30.2741,120.1551,1952,n/a,56.2,n/a,232
Hangzhou,30.2741,120.1551,1953,n/a,58.2,n/a,232
Hangzhou,30.2741,120.1551,1954,14.8,73.7,n/a,232
Hangzhou,30.2741,120.1551,1955,15.1,72,n/a,232
Hangzhou,30.2741,120.1551,1956,14.8,73.3,62.1,232
Hangzhou,30.2741,120.1551,1957,15.5,78.4,n/a,232
Hangzhou,30.2741,120.1551,1958,25,126.7,n/a,232
Hangzhou,30.2741,120.1551,1959,26.1,134.8,n/a,232
Hangzhou,30.2741,120.1551,1960,26.3,141.9,n/a,232
Hangzhou,30.2741,120.1551,1961,18.1,96.9,76.5,232
Hangzhou,30.2741,120.1551,1962,18.1,94.3,73.7,232
Hangzhou,30.2741,120.1551,1963,18.2,95.3,73.8,232
Hangzhou,30.2741,120.1551,1964,18.3,96.1,74.5,232
Hangzhou,30.2741,120.1551,1965,18.8,96.5,74.3,232
Hangzhou,30.2741,120.1551,1966,n/a,96,74,232
Hangzhou,30.2741,120.1551,1967,n/a,97,74,232
Hangzhou,30.2741,120.1551,1968,n/a,98,74,232
Hangzhou,30.2741,120.1551,1969,n/a,97,73.0,232
Hangzhou,30.2741,120.1551,1970,n/a,94.5,70.7,232
Hangzhou,30.2741,120.1551,1971,21.5,95.6,71.5,232
Hangzhou,30.2741,120.1551,1972,21.8,97.4,73,232
Hangzhou,30.2741,120.1551,1973,22.3,98.4,73.8,232
Hangzhou,30.2741,120.1551,1974,22.8,99.5,74.6,232
Hangzhou,30.2741,120.1551,1975,23.6,100.9,75.7,232
Hangzhou,30.2741,120.1551,1976,24.3,101.0,75.6,232
Hangzhou,30.2741,120.1551,1977,24.9,101.5,76,232
Hangzhou,30.2741,120.1551,1978,25.5,104.5,78.7,232
Hangzhou,30.2741,120.1551,1979,26.2,110.5,85,232
Hangzhou,30.2741,120.1551,1980,27.2,113.1,87.9,232
Hangzhou,30.2741,120.1551,1981,29.9,115.6,90.5,232
Hangzhou,30.2741,120.1551,1982,31.2,118.1,92.7,232
Hangzhou,30.2741,120.1551,1983,32.7,120.1,94.9,232
Hangzhou,30.2741,120.1551,1984,34.1,122.3,97.3,232
Hangzhou,30.2741,120.1551,1985,35.4,124.7,101.8,232
