place_name,lat,long,date,households(10k),total_population(10k),non-rural_population(10k),page_in_source
Harbin,45.8038,126.535,1949,,,,224
Harbin,45.8038,126.535,1950,,,,224
Harbin,45.8038,126.535,1951,,,,224
Harbin,45.8038,126.535,1952,,90.8,,224
Harbin,45.8038,126.535,1953,,117.8,,224
Harbin,45.8038,126.535,1954,25.4,136.4,,224
Harbin,45.8038,126.535,1955,25.5,132.6,,224
Harbin,45.8038,126.535,1956,27.9,142.7,127.9,224
Harbin,45.8038,126.535,1957,30.5,155.2,,224
Harbin,45.8038,126.535,1958,31.3,162,,224
Harbin,45.8038,126.535,1959,35.5,190.6,,224
Harbin,45.8038,126.535,1960,37.2,202.7,,224
Harbin,45.8038,126.535,1961,37.3,194.8,173,224
Harbin,45.8038,126.535,1962,36.1,182.3,159.7,224
Harbin,45.8038,126.535,1963,36.8,189.5,166.5,224
Harbin,45.8038,126.535,1964,37.7,196.2,172.4,224
Harbin,45.8038,126.535,1965,38.3,201,177.1,224
Harbin,45.8038,126.535,1966,,204,179,224
Harbin,45.8038,126.535,1967,,206,183,224
Harbin,45.8038,126.535,1968,,203,179,224
Harbin,45.8038,126.535,1969,,200,174,224
Harbin,45.8038,126.535,1970,,200,172,224
Harbin,45.8038,126.535,1971,43.4,204.9,176.4,224
Harbin,45.8038,126.535,1972,44.8,210.9,182.4,224
Harbin,45.8038,126.535,1973,46.3,216.7,185.1,224
Harbin,45.8038,126.535,1974,47.5,214.3,180.8,224
Harbin,45.8038,126.535,1975,48.4,212.3,178,224
Harbin,45.8038,126.535,1976,49.6,210.7,175.5,224
Harbin,45.8038,126.535,1977,50.8,212.9,177.1,224
Harbin,45.8038,126.535,1978,52.3,217.7,181.8,224
Harbin,45.8038,126.535,1979,55.1,235.8,199,224
Harbin,45.8038,126.535,1980,57.3,241.9,205,224
Harbin,45.8038,126.535,1981,59.3,246,209.4,224
Harbin,45.8038,126.535,1982,62.8,255.2,215.1,224
Harbin,45.8038,126.535,1983,64.8,255.9,218.5,224
Harbin,45.8038,126.535,1984,67.3,259.2,221.7,224
Harbin,45.8038,126.535,1985,69.6,262.5,225.2,224
