place_name,lat,long,date,households(10k),total_population(10k),non-rural_population(10k),page_in_source
Tianjin,39.3434,117.3616,1949,n/a,n/a,n/a,209
Tianjin,39.3434,117.3616,1950,n/a,179.9,n/a,209
Tianjin,39.3434,117.3616,1951,n/a,203,n/a,209
Tianjin,39.3434,117.3616,1952,n/a,212.6,n/a,209
Tianjin,39.3434,117.3616,1953,n/a,226.2,n/a,209
Tianjin,39.3434,117.3616,1954,60.8,285,n/a,209
Tianjin,39.3434,117.3616,1955,61.8,286.3,n/a,209
Tianjin,39.3434,117.3616,1956,64.3,302.6,259.1,209
Tianjin,39.3434,117.3616,1957,68.4,322.5,n/a,209
Tianjin,39.3434,117.3616,1958,76.7,371.5,n/a,209
Tianjin,39.3434,117.3616,1959,79,390.9,n/a,209
Tianjin,39.3434,117.3616,1960,76.5,383.9,n/a,209
Tianjin,39.3434,117.3616,1961,79.7,385.9,318.8,209
Tianjin,39.3434,117.3616,1962,82.6,402.4,325.7,209
Tianjin,39.3434,117.3616,1963,84.7,422.9,336.1,209
Tianjin,39.3434,117.3616,1964,85.3,431.5,342.7,209
Tianjin,39.3434,117.3616,1965,86,434.9,342.7,209
Tianjin,39.3434,117.3616,1966,n/a,434,342,209
Tianjin,39.3434,117.3616,1967,n/a,437,340,209
Tianjin,39.3434,117.3616,1968,n/a,437,337,209
Tianjin,39.3434,117.3616,1969,n/a,427,322,209
Tianjin,39.3434,117.3616,1970,n/a,423,306.5,209
Tianjin,39.3434,117.3616,1971,97.1,429.5,312.6,209
Tianjin,39.3434,117.3616,1972,98.8,436.9,317.3,209
Tianjin,39.3434,117.3616,1973,101.2,442.5,323.5,209
Tianjin,39.3434,117.3616,1974,103.2,447.6,326.4,209
Tianjin,39.3434,117.3616,1975,105.9,455.2,333.5,209
Tianjin,39.3434,117.3616,1976,108.7,458.5,334.8,209
Tianjin,39.3434,117.3616,1977,111.9,461.5,335.6,209
Tianjin,39.3434,117.3616,1978,115,471.1,345.9,209
Tianjin,39.3434,117.3616,1979,118.2,486.4,365.9,209
Tianjin,39.3434,117.3616,1980,121.7,494.5,376.1,209
Tianjin,39.3434,117.3616,1981,127.5,502.3,382.9,209
Tianjin,39.3434,117.3616,1982,134.2,513.2,392.3,209
Tianjin,39.3434,117.3616,1983,140,522,400.9,209
Tianjin,39.3434,117.3616,1984,145.5,530.5,412.3,209
Tianjin,39.3434,117.3616,1985,151.8,538.1,420.3,209
