"place_name
",lat,long,date,households(10k),"total_population(10k)
",non-rural_population(10k),page_in_source
Guangzhou,23.128994,113.25325,1949,n/a,n/a,n/a,248
Guangzhou,23.128994,113.25325,1950,n/a,116.8,n/a,248
Guangzhou,23.128994,113.25325,1951,n/a,124.5,n/a,248
Guangzhou,23.128994,113.25325,1952,n/a,132.6,n/a,248
Guangzhou,23.128994,113.25325,1953,n/a,151.3,n/a,248
Guangzhou,23.128994,113.25325,1954,37.7,171.4,n/a,248
Guangzhou,23.128994,113.25325,1955,40.2,173.8,n/a,248
Guangzhou,23.128994,113.25325,1956,39.6,171,154.8,248
Guangzhou,23.128994,113.25325,1957,42.3,184,n/a,248
Guangzhou,23.128994,113.25325,1958,46.2,200.7,n/a,248
Guangzhou,23.128994,113.25325,1959,52.5,236.9,n/a,248
Guangzhou,23.128994,113.25325,1960,52.9,243,n/a,248
Guangzhou,23.128994,113.25325,1961,54.3,240.8,193.9,248
Guangzhou,23.128994,113.25325,1962,54.2,239.4,191.7,248
Guangzhou,23.128994,113.25325,1963,55,246.7,195.3,248
Guangzhou,23.128994,113.25325,1964,55.8,253.4,198.4,248
Guangzhou,23.128994,113.25325,1965,53,243,198.3,248
Guangzhou,23.128994,113.25325,1966,n/a,243,198,248
Guangzhou,23.128994,113.25325,1967,n/a,246,196,248
Guangzhou,23.128994,113.25325,1968,n/a,248,193,248
Guangzhou,23.128994,113.25325,1969,n/a,249,189,248
Guangzhou,23.128994,113.25325,1970,n/a,251.6,187.5,248
Guangzhou,23.128994,113.25325,1971,61.6,255.8,189.3,248
Guangzhou,23.128994,113.25325,1972,62.6,260.1,192.4,248
Guangzhou,23.128994,113.25325,1973,63.5,264.3,194,248
Guangzhou,23.128994,113.25325,1974,64.3,267.9,195.7,248
Guangzhou,23.128994,113.25325,1975,65.8,268.9,194.2,248
Guangzhou,23.128994,113.25325,1976,67.2,272.1,196.3,248
Guangzhou,23.128994,113.25325,1977,68.6,274.6,197.9,248
Guangzhou,23.128994,113.25325,1978,70.6,283.1,206.5,248
Guangzhou,23.128994,113.25325,1979,73.1,293.7,218.3,248
Guangzhou,23.128994,113.25325,1980,73.9,302.5,228.9,248
Guangzhou,23.128994,113.25325,1981,75.9,307.7,233.8,248
Guangzhou,23.128994,113.25325,1982,78.8,312.1,237.8,248
Guangzhou,23.128994,113.25325,1983,81.7,317,242.1,248
Guangzhou,23.128994,113.25325,1984,84.9,322.2,248.6,248
Guangzhou,23.128994,113.25325,1985,88.4,328.9,256.9,248
